step,predator_0,prey_0
1,25,20
2,25,20
3,25,20
4,25,20
5,25,20
6,25,20
7,25,20
8,25,19
9,25,19
10,25,17
11,25,17
12,25,13
13,25,13
14,25,10
15,25,9
16,25,8
17,25,8
18,25,8
19,25,8
20,25,8
21,25,8
22,25,8
23,25,8
24,25,7
25,25,7
26,25,7
27,25,7
28,25,7
29,25,7
30,25,7
31,25,7
32,25,7
33,25,7
34,25,7
35,25,6
36,25,6
37,25,6
38,25,6
39,25,6
40,25,6
41,25,5
42,25,4
43,25,4
44,25,4
45,25,4
46,25,4
47,25,4
48,25,3
49,25,2
50,25,2
51,25,2
52,25,2
53,25,2
54,25,2
55,25,2
56,25,2
57,25,2
58,25,2
59,25,2
60,25,2
61,25,2
62,25,2
63,25,1
64,25,1
65,25,1
66,25,1
67,25,1
68,25,0
