step,predator_0,prey_0
1,2,20
2,2,20
3,2,20
4,2,20
5,2,20
6,2,20
7,2,20
8,2,20
9,2,21
10,2,23
11,2,23
12,2,23
13,2,23
14,2,23
15,2,23
16,2,23
17,2,23
18,2,23
19,2,24
20,2,26
21,2,27
22,2,27
23,2,27
24,2,29
25,2,29
26,2,29
27,2,29
28,2,29
29,2,30
30,2,31
31,2,31
32,2,30
33,2,30
34,2,30
35,2,31
36,2,32
37,2,32
38,2,32
39,2,33
40,2,34
41,2,34
42,2,34
43,2,34
44,2,34
45,2,35
46,2,36
47,2,36
48,2,37
49,2,38
50,2,37
51,2,37
52,2,37
53,2,38
54,2,38
55,2,38
56,2,38
57,2,38
58,2,39
59,2,40
60,2,41
61,2,42
62,2,42
63,2,42
64,2,43
65,2,42
66,2,42
67,2,42
68,2,44
69,2,46
70,2,47
71,2,46
72,2,45
73,2,45
74,2,46
75,2,46
76,2,46
77,2,46
78,2,47
79,2,48
80,2,48
81,2,50
82,2,50
83,2,51
84,2,51
85,2,51
86,2,51
87,2,48
88,2,48
89,2,48
90,2,47
91,2,49
92,2,49
93,2,48
94,2,48
95,2,49
96,2,47
97,2,47
98,2,46
99,2,45
101,2,44
102,2,45
103,2,46
104,2,47
105,2,48
106,2,48
107,2,47
108,2,45
109,2,44
110,2,44
111,2,43
112,2,42
113,2,43
114,2,43
115,2,44
116,2,44
117,2,44
118,2,43
119,2,43
120,2,41
121,2,40
122,2,40
123,2,37
124,2,34
125,2,33
126,2,35
127,2,36
128,2,36
129,2,35
130,2,35
131,2,34
132,2,33
133,2,33
134,2,32
135,2,32
136,2,33
137,2,33
138,2,32
139,2,29
140,2,29
141,2,26
142,2,26
143,2,26
144,2,24
145,2,23
146,2,24
147,2,24
148,2,24
149,2,24
150,2,24
151,2,21
152,2,20
153,2,20
154,2,20
155,2,19
156,2,18
157,2,18
158,2,18
159,2,18
160,2,17
161,2,16
162,2,15
163,2,15
164,2,14
165,2,13
166,2,13
167,2,13
168,2,13
169,2,12
170,2,12
171,2,10
172,2,10
173,2,9
174,2,9
175,2,9
176,2,8
177,2,7
178,2,7
179,2,7
180,2,7
181,2,7
182,2,7
183,2,6
184,2,6
185,2,5
186,2,5
187,2,5
188,2,4
189,2,4
190,2,4
191,2,4
192,2,3
193,2,3
194,2,3
195,2,3
196,2,3
197,2,3
198,2,3
199,2,2
201,2,2
202,2,2
203,2,1
204,2,1
205,2,1
206,2,1
207,2,1
208,2,1
209,2,1
210,2,1
211,2,1
212,2,1
213,2,1
214,2,1
215,2,1
216,2,1
217,2,1
218,2,1
219,2,1
220,2,1
221,2,0
