step,predator_0,prey_0
1,1,20
2,1,20
3,1,20
4,1,20
5,1,20
6,1,20
7,1,20
8,1,20
9,1,20
10,1,20
11,1,20
12,1,20
13,1,20
14,1,20
15,1,20
16,1,20
17,1,20
18,1,20
19,1,20
20,1,20
21,1,20
22,1,20
23,1,20
24,1,20
25,1,20
26,1,20
27,1,20
28,1,20
29,1,20
30,1,20
31,1,20
32,1,20
33,1,20
34,1,20
35,1,20
36,1,20
37,1,20
38,1,20
39,1,20
40,1,21
41,1,21
42,1,21
43,1,21
44,1,21
45,1,21
46,1,22
47,1,22
48,1,22
49,1,22
50,1,23
51,1,24
52,1,24
53,1,24
54,1,24
55,1,24
56,1,25
57,1,25
58,1,25
59,1,25
60,1,26
61,1,27
62,1,28
63,1,28
64,1,28
65,1,29
66,1,29
67,1,29
68,1,29
69,1,29
70,1,30
71,1,30
72,1,31
73,1,31
74,1,31
75,1,31
76,1,31
77,1,31
78,1,31
79,1,30
80,1,30
81,1,30
82,1,30
83,1,30
84,1,30
85,1,30
86,1,30
87,1,30
88,1,29
89,1,29
90,1,28
91,1,28
92,1,28
93,1,28
94,1,29
95,1,29
96,1,29
97,1,29
98,1,30
99,1,30
101,1,31
102,1,31
103,1,31
104,1,31
105,1,31
106,1,31
107,1,32
108,1,33
109,1,35
110,1,36
111,1,36
112,1,36
113,1,36
114,1,36
115,1,36
116,1,36
117,1,37
118,1,38
119,1,40
120,1,42
121,1,42
122,1,42
123,1,41
124,1,41
125,1,41
126,1,41
127,1,42
128,1,42
129,1,42
130,1,44
131,1,44
132,1,44
133,1,44
134,1,44
135,1,44
136,1,44
137,1,45
138,1,45
139,1,45
140,1,46
141,1,46
142,1,46
143,1,46
144,1,46
145,1,47
146,1,47
147,1,47
148,1,46
149,1,46
150,1,45
151,1,44
152,1,44
153,1,43
154,1,43
155,1,45
156,1,45
157,1,46
158,1,46
159,1,47
160,1,46
161,1,46
162,1,46
163,1,46
164,1,46
165,1,47
166,1,48
167,1,50
168,1,51
169,1,52
170,1,53
171,1,54
172,1,52
173,1,52
174,1,51
175,1,52
176,1,53
177,1,55
178,1,57
179,1,59
180,1,60
181,1,61
182,1,61
183,1,61
184,1,62
185,1,62
186,1,62
187,1,64
188,1,65
189,1,64
190,1,64
