step,predator_0,prey_0
1,1,20
2,1,20
3,1,20
4,1,20
5,1,20
6,1,20
7,1,20
8,1,20
9,1,20
10,1,20
11,1,20
12,1,20
13,1,20
14,1,20
15,1,20
16,1,20
17,1,20
18,1,20
19,1,20
20,1,20
21,1,20
22,1,20
23,1,20
24,1,20
25,1,20
26,1,20
27,1,20
28,1,20
29,1,20
30,1,20
31,1,20
32,1,20
33,1,20
34,1,20
35,1,20
36,1,19
37,1,19
38,1,19
39,1,19
40,1,19
41,1,19
42,1,19
43,1,19
44,1,19
45,1,19
46,1,19
47,1,19
48,1,19
49,1,19
50,1,19
51,1,19
52,1,19
53,1,19
54,1,19
55,1,19
56,1,19
57,1,19
58,1,19
59,1,19
60,1,19
61,1,19
62,1,19
63,1,19
64,1,19
65,1,19
66,1,19
67,1,19
68,1,20
69,1,20
70,1,20
71,1,20
72,1,20
73,1,20
74,1,20
75,1,21
76,1,21
77,1,21
78,1,22
79,1,22
80,1,22
81,1,22
82,1,22
83,1,23
84,1,23
85,1,24
86,1,25
87,1,25
88,1,26
89,1,27
90,1,28
91,1,28
92,1,28
93,1,29
94,1,29
95,1,30
96,1,31
97,1,32
98,1,33
99,1,34
101,1,36
102,1,36
103,1,36
104,1,36
105,1,37
106,1,36
107,1,36
108,1,37
109,1,37
110,1,38
111,1,39
112,1,39
113,1,39
114,1,39
115,1,38
116,1,38
117,1,38
118,1,38
119,1,37
120,1,38
121,1,40
122,1,40
123,1,40
124,1,38
125,1,39
126,1,39
127,1,39
128,1,39
129,1,39
130,1,39
131,1,40
132,1,41
133,1,41
134,1,42
135,1,43
136,1,43
137,1,43
138,1,43
139,1,43
140,1,43
141,1,44
142,1,47
143,1,48
144,1,50
145,1,51
146,1,52
147,1,52
148,1,52
149,1,53
150,1,53
151,1,54
152,1,58
153,1,61
154,1,64
155,1,65
156,1,65
157,1,65
158,1,65
159,1,66
160,1,65
161,1,64
162,1,68
163,1,70
164,1,71
165,1,73
166,1,74
167,1,74
168,1,74
169,1,75
170,1,75
171,1,75
172,1,77
173,1,79
174,1,79
175,1,80
176,1,82
177,1,82
178,1,82
179,1,82
180,1,82
181,1,81
182,1,81
183,1,82
184,1,82
185,1,82
186,1,83
187,1,84
188,1,85
189,1,84
190,1,85
191,1,84
192,1,84
193,1,85
194,1,85
195,1,85
196,1,86
197,1,86
198,1,87
199,1,87
201,1,89
202,1,89
203,1,90
204,1,90
205,1,90
206,1,90
207,1,91
208,1,93
209,1,91
210,1,93
211,1,94
212,1,94
213,1,94
214,1,95
215,1,93
216,1,93
217,1,93
218,1,95
219,1,95
220,1,97
221,1,99
222,1,100
223,1,100
224,1,100
225,1,99
226,1,99
227,1,97
228,1,98
229,1,100
230,1,100
231,1,101
232,1,101
233,1,102
234,1,102
235,1,99
236,1,98
237,1,98
238,1,97
239,1,97
240,1,98
241,1,98
242,1,99
243,1,100
244,1,99
245,1,99
246,1,98
247,1,98
248,1,99
249,1,98
250,1,98
251,1,100
252,1,100
253,1,100
254,1,100
255,1,100
256,1,99
257,1,100
258,1,101
259,1,101
260,1,102
261,1,103
262,1,100
263,1,102
