step,predator_0,prey_0
1,4,20
2,4,20
3,4,20
4,4,20
5,4,20
6,4,20
7,4,20
8,4,20
9,4,20
10,4,20
11,4,20
12,4,20
13,4,20
14,4,20
15,4,20
16,4,20
17,4,20
18,4,21
19,4,21
20,4,21
21,4,21
22,4,21
23,4,21
24,4,21
25,4,21
26,4,21
27,4,21
28,4,21
29,4,21
30,4,21
31,4,21
32,4,21
33,4,21
34,4,21
35,4,21
36,4,21
37,4,21
38,4,22
39,4,23
40,4,23
41,4,23
42,4,23
43,4,23
44,4,23
45,4,23
46,4,23
47,4,23
48,5,23
49,5,23
50,5,23
51,5,23
52,5,23
53,5,23
54,5,23
55,5,23
56,5,22
57,5,22
58,6,23
59,7,24
60,7,24
61,7,24
62,7,24
63,7,24
64,7,24
65,7,24
66,7,24
67,7,24
68,8,24
69,9,24
70,9,24
71,9,24
72,9,25
73,9,25
74,9,25
75,9,25
76,9,25
77,9,25
78,9,26
79,9,27
80,9,28
81,9,28
82,9,28
83,9,28
84,9,28
85,9,28
86,9,28
87,9,28
88,9,28
89,9,28
90,9,28
91,9,28
92,9,29
93,9,29
94,9,29
95,9,30
96,9,30
97,9,30
98,9,30
99,9,30
101,9,30
102,9,30
103,9,30
104,9,30
105,9,30
106,9,30
107,9,30
108,9,30
109,9,30
110,9,30
111,9,30
112,9,30
113,9,31
114,9,31
115,9,31
116,9,31
117,9,30
118,9,29
119,9,29
120,9,30
121,9,29
122,9,29
123,9,29
124,9,26
125,9,26
126,9,27
127,9,27
128,9,27
129,9,27
130,9,27
131,9,27
132,9,27
133,9,28
134,9,29
135,9,29
136,9,29
137,9,29
138,9,30
139,9,30
140,9,31
141,9,31
142,9,31
143,9,31
144,9,30
145,9,30
146,9,31
147,9,32
148,9,32
149,9,32
150,9,32
151,9,32
152,9,30
153,9,31
154,9,32
155,9,32
156,9,32
157,9,32
158,9,31
159,9,31
160,9,31
161,9,31
162,9,31
163,9,31
164,9,31
165,9,30
166,9,30
167,9,31
168,9,31
169,9,31
170,9,31
171,9,31
172,9,31
173,9,32
174,9,34
175,9,34
176,9,34
177,9,34
178,9,34
179,9,34
180,9,34
181,9,34
182,9,34
183,9,33
184,9,33
185,9,34
186,9,34
187,9,34
188,9,34
189,9,34
190,9,34
191,9,34
192,9,34
193,9,35
194,9,38
195,9,40
196,9,40
197,9,41
198,9,41
199,9,41
201,9,40
202,9,40
203,9,40
204,9,40
205,9,40
206,9,40
207,9,41
208,9,39
209,9,39
210,9,39
211,9,39
212,9,39
213,9,39
214,9,40
215,9,41
216,9,43
217,9,45
218,9,46
219,9,46
220,9,46
221,9,47
222,9,47
223,9,48
224,9,48
225,9,48
226,9,48
227,9,49
228,9,49
229,9,49
230,9,49
231,9,49
232,9,49
233,9,48
234,9,48
235,9,48
236,9,51
237,9,54
238,9,56
239,9,57
240,9,58
241,9,58
242,9,58
243,9,59
244,9,60
245,9,60
246,9,60
247,9,60
248,9,62
249,9,61
250,9,62
251,9,62
252,9,62
253,9,61
254,9,61
255,9,60
256,9,63
257,9,66
258,9,68
259,9,71
260,9,73
261,9,75
262,9,75
263,9,75
264,9,76
265,9,77
266,9,77
267,9,77
268,9,76
269,9,76
270,9,77
271,9,77
272,9,77
273,9,77
274,9,77
275,9,77
276,9,80
277,9,82
278,9,84
279,9,84
280,9,84
281,9,85
282,9,85
283,9,86
284,9,87
285,9,89
286,9,89
287,9,89
288,9,89
289,9,89
290,9,90
291,9,91
292,9,91
293,9,90
294,9,90
295,9,90
296,9,91
297,9,92
298,9,94
299,10,92
301,10,91
302,10,91
303,10,91
304,10,91
305,10,91
306,10,92
307,10,92
308,10,92
309,11,92
310,11,93
311,11,93
312,11,93
313,11,91
314,11,92
315,11,91
316,11,93
317,11,93
318,11,93
319,12,94
320,12,94
321,12,92
322,12,94
323,12,95
324,12,94
325,12,94
326,12,94
327,12,95
328,12,93
329,13,93
330,13,92
331,13,92
332,13,91
333,13,91
334,13,92
335,13,91
336,13,90
337,13,88
338,13,88
339,13,89
340,13,90
341,13,89
342,13,88
343,13,89
344,13,90
345,13,88
346,13,87
347,13,83
348,13,84
349,13,83
350,13,79
351,12,80
352,12,80
353,12,79
354,12,80
355,12,81
356,12,81
357,12,81
358,12,82
359,12,84
360,12,85
361,12,85
362,12,86
363,13,87
364,13,88
365,13,87
366,13,87
367,13,87
368,13,88
369,13,89
370,13,88
371,13,87
372,13,87
373,14,86
374,14,86
375,14,87
376,14,88
377,14,89
378,14,90
379,14,89
380,15,90
381,15,89
382,15,89
383,16,90
384,16,91
385,16,92
386,16,92
387,16,91
388,16,90
389,16,92
390,17,92
391,18,92
392,18,92
393,19,92
394,19,91
395,19,90
396,19,94
397,18,94
398,18,93
399,18,95
401,18,100
402,18,100
403,18,101
404,18,102
405,18,103
406,18,102
407,18,102
408,18,102
409,18,103
410,18,105
411,18,105
412,18,106
413,18,106
414,18,106
415,18,106
416,18,108
417,18,109
418,18,111
419,18,113
420,18,117
421,18,119
422,18,120
423,18,122
424,18,123
425,18,123
426,18,123
427,18,123
428,18,123
429,18,125
430,18,127
431,18,127
432,18,126
433,18,127
434,19,125
435,19,123
436,19,125
437,19,125
438,19,124
439,19,124
440,19,126
441,19,127
442,19,127
443,19,128
444,19,130
445,19,130
446,19,128
447,19,127
448,19,127
449,19,127
450,19,127
451,19,127
452,19,126
453,19,126
454,19,125
455,19,125
456,19,125
457,20,124
458,20,123
459,20,123
460,20,123
461,20,122
462,21,122
463,21,123
464,21,123
465,21,123
466,21,123
467,22,122
468,22,123
469,22,123
470,22,122
471,22,121
472,23,121
473,23,119
474,23,119
475,23,119
476,23,118
477,24,118
478,24,118
479,24,118
480,24,117
481,24,114
482,25,114
483,25,114
484,25,113
485,25,112
486,25,107
487,25,106
488,25,107
489,25,108
490,25,107
491,25,107
492,26,105
493,26,104
494,26,104
495,26,103
496,26,102
497,26,101
498,26,100
499,26,99
501,27,94
502,27,95
503,27,96
504,27,96
505,27,94
506,27,94
507,27,92
508,27,90
509,27,92
510,28,92
511,28,91
512,28,88
513,28,88
514,28,86
515,28,82
516,28,82
517,28,80
