step,predator_0,prey_0
1,4,20
2,4,20
3,4,20
4,4,20
5,4,20
6,4,20
7,4,20
8,4,20
9,4,20
10,4,20
11,4,20
12,4,20
13,4,20
14,4,20
15,4,20
16,4,20
17,4,20
18,4,20
19,4,20
20,4,20
21,4,20
22,4,20
23,4,20
24,4,20
25,4,20
26,4,20
27,4,20
28,4,20
29,4,20
30,4,20
31,4,20
32,4,20
33,4,20
34,4,19
35,4,19
36,4,19
37,4,19
38,4,19
39,4,19
40,4,19
41,4,19
42,4,19
43,4,19
44,4,19
45,4,19
46,4,19
47,4,19
48,4,19
49,4,19
50,4,19
51,4,19
52,4,19
53,4,19
54,4,18
55,4,18
56,4,18
57,4,18
58,4,18
59,4,18
60,4,18
61,4,18
62,4,18
63,4,18
64,4,18
65,4,18
66,4,18
67,4,18
68,4,18
69,4,18
70,4,18
71,4,18
72,4,18
73,4,18
74,4,18
75,4,18
76,4,18
77,4,18
78,4,18
79,4,18
80,4,18
81,4,18
82,4,18
83,4,18
84,4,18
85,4,18
86,4,18
87,4,18
88,4,18
89,4,18
90,4,18
91,4,18
92,4,18
93,4,20
94,4,20
95,4,20
96,4,20
97,4,20
98,4,20
99,4,20
101,4,20
102,4,20
103,4,20
104,4,20
105,4,19
106,4,19
107,4,19
108,4,19
109,4,19
110,4,19
111,4,19
112,4,19
113,4,19
114,4,19
115,4,18
116,4,16
117,4,16
118,4,15
119,4,15
120,4,15
121,4,15
122,4,15
123,4,15
124,4,12
125,4,12
126,4,12
127,4,12
128,4,12
129,4,12
130,4,12
131,4,12
132,4,12
133,4,12
134,4,12
135,4,12
136,4,12
137,4,12
138,4,12
139,4,12
140,4,12
141,4,12
142,4,12
143,4,13
144,4,13
145,4,13
146,4,13
147,4,13
148,4,13
149,4,13
150,4,13
151,4,13
152,4,13
153,4,13
154,4,13
155,4,13
156,4,13
157,4,13
158,4,13
159,4,13
160,4,13
161,4,13
162,4,13
163,4,13
164,4,14
165,4,14
166,4,14
167,4,14
168,4,14
169,4,14
170,4,14
171,4,14
172,4,14
173,4,14
174,4,14
175,4,14
176,4,14
177,4,14
178,4,15
179,4,15
180,4,15
181,4,15
182,4,15
183,4,15
184,4,15
185,4,15
186,4,15
187,4,15
188,4,15
189,4,15
190,4,15
191,4,15
192,4,15
193,4,15
194,4,15
195,4,15
196,4,15
197,4,15
198,4,15
199,4,15
201,4,15
202,4,15
203,4,15
204,4,15
205,4,15
206,4,15
207,4,15
208,4,15
209,4,16
210,4,16
211,4,16
212,4,16
213,4,16
214,4,17
215,4,17
216,4,17
217,4,17
218,4,17
219,4,17
220,4,17
221,4,17
222,4,17
223,4,17
224,4,17
225,4,17
226,4,17
227,4,17
228,4,19
229,4,19
230,4,19
231,4,18
232,4,18
233,4,18
234,4,18
235,4,18
236,4,18
237,4,18
238,4,18
239,4,18
240,4,18
241,4,18
242,4,18
243,4,18
244,4,18
245,4,18
246,4,18
247,4,18
248,4,18
249,4,18
250,4,18
251,4,18
252,4,18
253,4,18
254,4,18
255,4,18
256,4,18
257,4,18
258,4,19
259,4,20
260,4,21
261,4,21
262,4,21
263,4,21
264,4,22
265,4,22
266,4,22
267,4,22
268,4,22
269,4,22
270,4,22
271,4,22
272,4,22
273,4,22
274,4,22
275,4,22
276,4,22
277,4,22
278,4,23
279,4,23
280,4,23
281,4,23
282,4,22
283,4,22
284,4,22
285,4,22
286,4,22
287,4,22
288,4,22
289,4,22
290,4,22
291,4,23
292,4,23
293,4,23
294,4,23
295,4,23
296,4,23
297,4,23
298,4,23
299,4,23
301,4,23
302,4,23
303,4,23
304,4,23
305,4,23
306,4,23
307,4,23
308,4,23
309,4,24
310,4,26
311,4,25
312,4,25
313,4,25
314,4,26
315,4,26
316,4,26
317,4,26
318,4,26
319,4,26
320,4,26
321,4,26
322,4,26
323,4,26
324,4,26
325,4,26
326,4,26
327,4,26
328,4,27
329,4,27
330,4,27
331,4,27
332,4,27
333,4,27
334,4,27
335,4,27
336,4,27
337,4,27
338,4,27
339,4,27
340,4,27
341,4,28
342,4,28
343,4,28
344,4,28
345,4,28
346,4,28
347,4,28
348,4,28
349,4,28
350,4,28
351,4,28
352,4,28
353,4,28
354,4,28
355,4,28
356,4,28
357,4,28
358,4,28
359,4,28
360,4,31
361,4,31
362,4,31
363,4,31
364,4,31
365,4,31
366,4,31
367,4,31
368,4,30
369,4,30
370,4,30
371,4,30
372,4,29
373,4,29
374,4,29
375,4,29
376,4,29
377,4,29
378,4,30
379,4,30
380,4,30
381,4,31
382,4,31
383,4,31
384,4,31
385,4,31
386,4,31
387,4,30
388,4,30
389,4,31
390,4,31
391,4,32
392,4,32
393,4,32
394,4,32
395,4,32
396,4,32
397,4,32
398,4,32
399,4,31
401,4,31
402,4,31
403,4,31
404,4,31
405,4,32
406,4,32
407,4,32
408,4,32
409,4,32
410,4,32
411,4,32
412,4,32
413,4,32
414,4,32
415,4,32
416,4,32
417,4,32
418,4,32
419,4,32
420,4,32
421,4,32
422,4,32
423,4,32
424,4,32
425,4,32
426,4,32
427,4,32
428,4,33
429,4,33
430,4,32
431,4,33
432,4,33
433,4,33
434,4,33
435,4,33
436,4,33
437,4,33
438,4,33
439,4,34
440,4,34
441,4,35
442,4,35
443,4,36
444,4,36
445,4,36
446,4,36
447,4,36
448,4,36
449,4,36
450,4,36
451,4,36
452,4,37
453,4,37
454,4,37
455,4,39
456,4,39
457,4,39
458,4,39
459,4,39
460,4,39
461,4,39
462,4,39
463,4,39
464,4,39
465,4,39
466,4,39
467,4,39
468,4,39
469,4,39
470,4,38
471,4,38
472,4,38
473,4,38
474,4,38
475,4,37
476,4,37
477,4,37
478,4,38
479,4,38
480,4,38
481,4,38
482,4,38
483,4,38
484,4,38
485,4,38
486,4,38
487,4,38
488,4,38
489,4,39
490,4,39
491,4,39
492,4,39
493,4,40
494,4,40
495,4,40
496,4,40
497,4,39
498,4,39
499,4,39
501,4,39
502,4,41
503,4,41
504,4,41
505,4,43
506,4,43
507,4,43
508,4,43
509,4,43
510,4,43
511,4,43
512,4,43
513,4,43
514,4,43
515,4,43
516,4,44
517,4,43
