step,predator_0,prey_0
1,25,20
2,25,20
3,25,20
4,25,20
5,25,20
6,25,20
7,26,20
8,26,20
9,26,20
10,30,20
11,35,20
12,37,19
13,37,17
14,37,17
15,37,17
16,37,17
17,38,17
18,39,17
19,39,17
20,43,17
21,50,17
22,57,17
23,60,17
24,62,17
25,62,17
26,63,17
27,64,17
28,66,17
29,67,17
30,71,17
31,81,17
32,93,17
33,102,17
34,108,17
35,111,17
36,114,17
37,116,17
38,119,17
39,121,17
40,126,17
41,139,17
42,157,17
43,176,17
44,191,17
45,202,17
46,210,17
47,217,17
48,223,17
49,227,17
50,234,17
51,252,17
52,279,17
53,311,17
54,341,17
55,368,17
56,390,17
57,408,17
58,423,16
59,434,16
60,445,16
61,465,16
