step,predator_0,prey_0
1,4,20
2,4,20
3,4,20
4,4,20
5,4,20
6,4,20
7,4,19
8,4,19
9,4,19
10,4,19
11,4,19
12,4,19
13,4,19
14,4,19
15,4,19
16,4,19
17,4,19
18,4,19
19,4,19
20,4,19
21,4,19
22,4,19
23,4,19
24,4,19
25,4,19
26,4,19
27,4,19
28,4,19
29,4,19
30,4,19
31,4,20
32,4,20
33,4,20
34,4,20
35,4,20
36,4,20
37,4,20
38,4,20
39,4,20
40,4,20
41,4,21
42,4,21
43,4,21
44,4,21
45,4,21
46,4,21
47,4,21
48,4,21
49,4,21
50,4,21
51,4,21
52,4,21
53,4,21
54,4,21
55,4,21
56,4,22
57,4,22
58,4,22
59,4,22
60,4,22
61,4,23
62,4,23
63,4,23
64,4,23
65,4,24
66,4,25
67,4,25
68,4,25
69,4,25
70,4,25
71,4,25
72,4,25
73,4,25
74,4,25
75,4,26
76,4,27
77,4,27
78,4,27
79,4,27
80,4,27
81,4,27
82,4,27
83,4,27
84,4,28
85,4,29
86,4,30
87,4,30
88,4,30
89,4,30
90,4,29
91,4,30
92,4,30
93,4,30
94,4,31
95,4,31
96,4,32
97,4,33
98,4,33
99,4,33
101,4,33
102,4,33
103,4,33
104,4,33
105,4,33
106,4,35
107,4,36
108,4,38
109,4,39
110,4,39
111,4,39
112,4,39
113,4,39
114,4,39
115,4,39
116,4,41
117,4,42
118,4,43
119,4,43
120,4,44
121,4,44
122,4,45
123,4,45
124,4,42
125,4,42
126,4,43
127,4,44
128,4,45
129,4,45
130,4,46
131,4,46
132,4,48
133,4,48
134,4,48
135,4,47
136,4,48
137,4,49
138,4,49
139,4,49
140,4,49
141,4,50
142,4,52
143,4,53
144,4,53
145,4,53
146,4,55
147,4,56
148,4,56
149,4,56
150,4,56
151,4,56
152,4,58
153,4,59
154,4,59
155,4,60
156,4,61
157,4,65
158,4,65
159,4,65
160,4,65
161,4,64
162,4,66
163,4,68
164,4,68
165,4,68
166,4,70
167,4,74
168,4,76
169,4,76
170,4,76
171,4,77
172,4,78
173,4,79
174,4,78
175,4,78
176,4,80
177,4,81
178,4,83
179,4,82
180,4,81
181,4,82
182,4,83
183,4,83
184,4,83
185,4,83
186,4,83
187,4,84
188,4,85
189,4,85
190,4,85
191,4,85
192,4,86
193,4,86
194,4,87
195,4,87
196,4,86
197,4,86
198,4,87
199,4,87
201,4,90
202,4,93
203,4,95
204,4,95
205,4,96
206,4,96
207,4,97
208,4,98
209,4,98
210,4,98
211,4,101
212,4,104
213,4,107
214,4,109
215,4,110
216,4,111
217,4,113
218,4,115
219,4,116
220,4,116
221,4,118
222,4,118
223,4,120
224,4,121
225,4,122
226,4,122
227,4,124
228,4,126
229,4,127
230,4,127
231,4,130
232,4,130
233,4,130
234,4,130
235,4,129
236,4,130
237,4,131
238,4,133
239,4,135
240,4,135
241,4,136
242,4,135
243,4,133
244,4,134
245,4,133
246,4,133
247,4,134
248,4,134
249,4,133
250,4,135
251,4,137
252,4,136
253,4,135
254,4,135
255,4,132
256,4,133
257,4,132
258,4,132
259,4,131
260,4,131
261,4,131
262,4,132
263,4,132
264,4,132
265,4,131
266,4,130
267,4,131
268,4,132
269,4,132
270,4,129
271,4,128
272,4,128
273,4,126
274,4,123
275,4,123
276,4,123
277,4,124
278,4,126
279,4,127
280,4,126
281,4,126
282,4,124
283,4,125
284,4,125
285,4,126
286,4,126
287,4,126
288,4,127
289,4,127
290,4,128
291,4,128
292,4,127
293,4,125
294,4,125
295,4,123
296,4,124
297,4,124
298,4,126
299,4,126
301,4,127
302,4,127
303,4,128
304,4,127
305,4,128
306,4,127
307,4,128
308,4,130
309,4,130
310,4,131
311,4,131
312,4,131
313,4,129
314,4,129
315,4,129
316,4,128
317,4,127
318,4,128
319,4,128
320,4,126
321,4,124
322,4,123
323,4,122
324,4,121
325,4,118
326,4,118
327,4,118
328,4,116
329,4,113
330,4,112
331,4,112
332,4,112
333,4,111
334,4,110
335,4,107
336,4,107
337,4,105
338,4,104
339,4,103
340,4,103
341,4,103
342,4,102
343,4,100
344,4,100
345,4,100
346,4,99
347,4,99
348,4,99
349,4,99
350,4,99
351,4,98
352,4,99
353,4,101
354,4,101
355,4,100
356,4,101
357,4,101
358,4,100
359,4,99
360,4,99
361,4,99
362,4,101
363,4,103
364,4,102
365,4,104
366,4,103
367,4,99
368,4,98
369,4,98
370,4,97
371,4,97
372,4,98
373,4,98
374,4,96
375,4,95
376,4,96
377,4,96
378,4,94
379,4,93
380,4,93
381,4,92
382,4,90
383,4,89
384,4,88
385,4,87
386,4,88
387,4,87
388,4,86
389,4,88
390,4,85
391,4,86
392,4,86
393,4,86
394,4,85
395,4,85
396,4,86
397,4,86
398,4,86
399,4,86
401,4,85
402,4,84
403,4,84
404,4,84
405,4,84
406,4,85
407,4,84
408,4,85
409,4,85
410,4,86
411,4,86
412,4,87
413,4,86
414,4,85
415,4,85
416,4,83
417,4,83
418,4,82
419,4,82
420,4,81
421,4,83
422,4,83
423,4,82
424,4,82
425,4,82
426,4,82
427,4,82
428,4,82
429,4,82
430,4,83
431,4,83
432,4,83
433,4,83
434,4,82
435,4,80
436,4,78
437,4,77
438,4,77
439,4,76
440,4,75
441,4,73
442,4,73
443,4,73
444,4,74
445,4,72
446,4,73
447,4,72
448,4,72
449,4,72
450,4,72
451,4,71
452,4,70
453,4,68
454,4,67
455,4,68
456,4,66
457,4,64
458,4,64
459,4,63
460,4,62
461,4,62
462,4,62
463,4,60
464,4,60
465,4,61
466,4,62
467,4,58
468,4,58
469,4,58
470,4,57
471,4,56
472,4,56
473,4,55
474,4,53
475,4,53
476,4,54
477,4,52
478,4,51
479,4,50
480,4,50
481,4,50
482,4,50
483,4,50
484,4,49
485,4,50
486,4,49
487,4,47
488,4,48
489,4,48
490,4,47
491,4,46
492,4,46
493,4,46
494,4,46
495,4,47
496,4,46
497,4,45
498,4,46
499,4,46
501,4,46
502,4,46
503,4,44
504,4,44
505,4,45
506,4,45
507,4,45
508,4,46
509,4,46
510,4,45
511,4,46
512,4,46
513,4,46
514,4,45
515,4,45
516,4,46
517,4,47
