step,predator_0,prey_0
1,1,20
2,1,20
3,1,20
4,1,20
5,1,20
6,1,20
7,1,20
8,1,20
9,1,20
10,1,20
11,1,20
12,1,20
13,1,20
14,1,20
15,1,20
16,1,20
17,1,20
18,1,20
19,1,20
20,1,20
21,1,20
22,1,20
23,1,20
24,1,20
25,1,20
26,1,20
27,1,20
28,1,20
29,1,20
30,1,20
31,1,20
32,1,20
33,1,20
34,1,20
35,1,20
36,1,20
37,1,20
38,1,20
39,1,20
40,1,20
41,1,20
42,1,21
43,1,21
44,1,22
45,1,22
46,1,22
47,1,22
48,1,22
49,1,22
50,1,22
51,1,22
52,1,23
53,1,24
54,1,25
55,1,25
56,1,26
57,1,26
58,1,26
59,1,26
60,1,26
61,1,26
62,1,27
63,1,28
64,1,28
65,1,28
66,1,28
67,1,28
68,1,28
69,1,29
70,1,29
71,1,29
72,1,31
73,1,32
74,1,32
75,1,32
76,1,32
77,1,33
78,1,33
79,1,33
80,1,33
81,1,33
82,1,34
83,1,34
84,1,34
85,1,35
86,1,35
87,1,35
88,1,35
89,1,34
90,1,34
91,1,34
92,1,34
93,1,35
94,1,35
95,1,36
96,1,36
97,1,36
98,1,35
99,1,31
101,1,31
102,1,31
103,1,31
104,1,32
105,1,32
106,1,32
107,1,32
108,1,32
109,1,32
110,1,32
111,1,32
112,1,32
113,1,32
114,1,32
115,1,32
116,1,31
117,1,31
118,1,31
119,1,31
120,1,31
121,1,30
122,1,30
123,1,30
124,1,30
125,1,30
126,1,30
127,1,30
128,1,30
129,1,30
130,1,31
131,1,31
132,1,31
133,1,31
134,1,30
135,1,30
136,1,30
137,1,30
138,1,30
139,1,30
140,1,31
141,1,32
142,1,31
143,1,31
144,1,31
145,1,30
146,1,28
147,1,28
148,1,28
149,1,28
150,1,26
151,1,27
152,1,28
153,1,28
154,1,28
155,1,28
156,1,29
157,1,29
158,1,29
159,1,29
160,1,30
161,1,30
162,1,31
163,1,32
164,1,32
165,1,31
166,1,32
167,1,33
168,1,33
169,1,33
170,1,33
171,1,33
172,1,33
173,1,33
174,1,34
175,1,33
176,1,34
177,1,34
178,1,34
179,1,35
180,1,35
181,1,35
182,1,35
183,1,35
184,1,36
185,1,35
186,1,37
187,1,39
188,1,39
189,1,40
190,1,41
191,1,41
192,1,40
193,1,40
194,1,41
195,1,41
196,1,42
197,1,44
198,1,45
199,1,45
201,1,46
202,1,45
203,1,45
204,1,46
205,1,46
206,1,46
207,1,49
208,1,51
209,1,51
210,1,53
211,1,53
212,1,53
213,1,54
214,1,54
215,1,53
216,1,54
217,1,57
218,1,59
219,1,60
220,1,62
221,1,63
222,1,63
223,1,64
224,1,63
225,1,63
226,1,64
227,1,66
228,1,67
229,1,67
230,1,68
231,1,69
232,1,70
233,1,70
234,1,70
235,1,69
236,1,70
237,1,73
238,1,76
239,1,76
240,1,74
241,1,74
