step,predator_0,prey_0
1,1,20
2,1,20
3,1,20
4,1,20
5,1,20
6,1,20
7,1,20
8,1,20
9,1,20
10,1,20
11,1,20
12,1,20
13,1,20
14,1,20
15,1,20
16,1,20
17,1,20
18,1,20
19,1,20
20,1,20
21,1,20
22,1,21
23,1,21
24,1,21
25,1,21
26,1,21
27,1,22
28,1,22
29,1,22
30,1,22
31,1,22
32,1,22
33,1,22
34,1,22
35,1,22
36,1,22
37,1,23
38,1,23
39,1,23
40,1,24
41,1,24
42,1,24
43,1,24
44,1,24
45,1,24
46,1,24
47,1,24
48,1,24
49,1,24
50,1,24
51,1,24
52,1,24
53,1,24
54,1,25
55,1,25
56,1,25
57,1,25
58,1,25
59,1,25
60,1,25
61,1,25
62,1,25
63,1,25
64,1,26
65,1,27
66,1,27
67,1,27
68,1,27
69,1,27
70,1,28
71,1,28
72,1,28
73,1,29
74,1,30
75,1,30
76,1,30
77,1,30
78,1,30
79,1,30
80,1,31
81,1,31
82,1,31
83,1,32
84,1,33
85,1,33
86,1,33
87,1,33
88,1,33
89,1,33
90,1,34
91,1,34
92,1,26
93,1,27
94,1,27
95,1,27
96,1,26
97,1,26
98,1,26
99,1,26
101,1,26
102,1,26
103,1,26
104,1,25
105,1,24
106,1,24
107,1,24
108,1,24
109,1,24
110,1,24
111,1,24
112,1,24
113,1,24
114,1,24
115,1,24
116,1,23
117,1,23
118,1,23
119,1,23
120,1,22
121,1,22
122,1,23
123,1,23
124,1,23
125,1,23
126,1,23
127,1,23
128,1,22
129,1,23
130,1,23
131,1,22
132,1,22
133,1,22
134,1,22
135,1,23
136,1,23
137,1,22
138,1,21
139,1,22
140,1,21
141,1,21
142,1,21
143,1,21
144,1,21
145,1,20
146,1,19
147,1,19
148,1,19
149,1,19
