step,predator_0,prey_0
1,4,20
2,4,20
3,4,20
4,4,20
5,4,20
6,4,20
7,4,20
8,4,20
9,4,20
10,4,20
11,4,20
12,4,20
13,4,20
14,4,20
15,4,20
16,4,20
17,4,20
18,4,20
19,4,20
20,4,20
21,4,20
22,4,19
23,4,19
24,4,19
25,4,19
26,4,19
27,4,19
28,4,19
29,4,19
30,4,19
31,4,19
32,4,19
33,4,19
34,4,19
35,4,19
36,4,19
37,4,19
38,4,19
39,4,19
40,4,19
41,4,19
42,4,19
43,4,19
44,4,18
45,4,18
46,4,18
47,4,18
48,4,18
49,4,18
50,4,18
51,4,18
52,4,18
53,4,18
54,4,18
55,4,18
56,4,18
57,4,18
58,4,18
59,4,18
60,4,18
61,4,18
62,4,18
63,4,18
64,4,17
65,4,17
66,4,17
67,4,17
68,4,17
69,4,17
70,4,17
71,4,17
72,4,17
73,4,17
74,4,17
75,4,17
76,4,17
77,4,16
78,4,16
79,4,16
80,4,16
81,4,16
82,4,16
83,4,16
84,4,16
85,4,16
86,4,16
87,4,16
88,4,16
89,4,16
90,4,16
91,4,16
92,4,16
93,4,16
94,4,16
95,4,16
96,4,16
97,4,16
98,4,16
99,5,16
101,5,17
102,5,17
103,5,17
104,5,17
105,5,18
106,5,18
107,5,18
108,5,18
109,5,18
110,5,17
111,5,17
112,5,17
113,5,17
114,5,17
115,5,16
116,5,16
117,5,16
118,5,16
119,5,16
120,5,16
121,5,16
122,5,16
123,5,16
124,5,15
125,5,15
126,5,15
127,5,15
128,5,16
129,5,16
130,5,16
131,5,16
132,5,16
133,5,16
134,5,16
135,5,16
136,5,16
137,5,16
138,5,17
139,5,18
140,5,18
141,5,18
142,5,18
143,5,18
144,5,18
145,5,18
146,5,18
147,5,18
148,5,19
149,5,20
150,5,20
151,5,20
152,5,20
153,5,20
154,5,20
155,5,20
156,5,20
157,5,20
158,5,20
159,5,22
160,5,22
161,5,22
162,5,22
163,5,22
164,5,22
165,5,22
166,5,22
167,5,22
168,5,22
169,5,23
170,5,23
171,5,23
172,5,23
173,5,23
174,5,23
175,5,23
176,5,23
177,5,23
178,5,23
179,5,26
180,5,26
181,5,26
182,5,26
183,5,26
184,5,26
185,5,26
186,5,25
187,5,25
188,5,25
189,5,26
190,5,26
191,5,26
192,5,27
193,5,27
194,5,27
195,5,27
196,5,27
197,5,27
198,5,28
199,5,27
201,5,27
202,5,29
203,5,29
204,5,29
205,5,29
206,5,29
207,5,29
208,5,29
209,5,29
210,5,29
211,5,29
212,5,31
213,5,32
214,5,32
215,5,32
216,5,32
217,5,32
218,5,32
219,5,33
220,5,32
221,5,32
222,5,34
223,5,35
224,5,35
225,5,35
226,5,35
227,5,35
228,5,35
229,5,36
230,5,36
231,5,36
232,5,38
233,5,39
234,5,40
235,5,40
236,5,39
237,5,39
238,5,39
239,5,40
240,5,40
241,5,40
242,5,41
243,5,40
244,5,41
245,5,41
246,5,41
247,5,41
248,5,41
249,5,40
250,5,38
251,5,38
252,5,38
253,5,38
254,5,40
255,5,40
256,5,40
257,5,39
258,5,39
259,5,39
260,5,39
261,5,39
262,5,40
263,5,41
264,5,43
265,5,43
266,5,44
267,5,45
268,5,45
269,5,45
270,5,45
271,5,45
272,5,45
273,5,46
274,5,47
275,5,47
276,5,49
277,5,50
278,5,50
279,5,50
280,5,50
281,5,51
282,5,51
283,5,52
284,5,52
285,5,52
286,5,54
287,5,55
288,5,56
289,5,56
290,5,56
291,5,56
292,5,56
293,5,57
294,5,58
295,5,58
296,5,59
297,5,60
298,5,61
299,5,61
301,5,62
302,5,61
303,5,63
304,5,64
305,5,64
306,5,64
307,5,65
308,5,65
309,5,65
310,5,65
311,5,67
312,5,67
313,5,68
314,5,69
315,5,70
316,5,70
317,4,70
318,4,70
319,4,70
320,4,69
321,4,71
322,4,71
323,4,73
324,4,74
325,4,75
326,4,74
327,4,74
328,4,74
329,4,74
330,4,74
331,4,75
332,4,75
333,4,77
334,4,76
335,4,76
336,4,76
337,4,75
338,4,75
339,4,77
340,4,76
341,4,76
342,4,78
343,4,78
344,4,78
345,3,78
346,3,78
347,3,78
348,3,79
349,3,82
350,3,82
351,3,83
352,3,86
353,3,86
354,3,87
355,3,88
356,3,88
357,3,88
358,3,89
359,3,92
360,3,92
361,3,92
362,3,94
363,3,94
364,3,96
365,3,97
366,3,97
367,3,97
368,3,97
369,3,99
370,3,99
371,3,99
372,3,100
373,3,101
374,3,103
375,3,104
376,3,105
377,3,105
378,3,105
379,3,107
380,3,107
381,3,107
382,3,108
383,3,109
384,3,111
385,3,111
386,3,111
387,3,111
388,3,111
389,3,111
390,3,110
391,3,109
392,3,111
393,3,113
394,4,114
395,4,114
396,4,114
397,4,114
398,4,114
399,4,114
401,4,112
402,4,114
403,4,117
404,4,118
405,4,118
406,4,118
407,4,117
408,4,116
409,4,116
410,4,117
411,4,116
412,4,118
413,4,120
414,4,121
415,4,122
416,4,122
417,4,122
418,4,122
419,4,122
420,4,122
421,4,124
422,4,125
423,4,125
424,4,126
425,4,126
426,4,126
427,4,126
428,4,126
429,4,126
430,4,126
431,4,128
432,4,130
433,4,128
434,4,128
435,4,129
436,4,129
437,4,129
438,4,129
439,4,129
440,4,129
441,4,131
442,4,132
443,4,132
444,4,131
445,4,131
446,4,131
447,4,132
448,4,132
449,4,132
450,4,132
451,4,132
452,4,132
453,4,132
454,4,132
455,4,132
456,4,132
457,4,132
458,4,132
459,4,134
460,4,134
461,4,133
462,4,133
463,4,132
464,4,132
465,4,132
466,4,133
467,4,132
468,4,133
469,4,134
470,4,134
471,4,135
472,4,135
473,4,134
474,4,133
475,4,131
476,4,131
477,4,130
478,4,131
479,4,132
480,4,131
481,4,131
482,4,131
483,4,131
484,4,131
485,4,131
486,4,131
487,4,130
488,4,130
489,4,130
490,4,130
491,4,130
492,4,130
493,4,130
494,4,130
495,4,131
496,4,131
497,4,131
498,4,131
499,4,131
501,4,131
502,4,131
503,4,130
504,4,130
505,4,130
506,4,130
507,4,131
508,4,130
509,4,130
510,4,128
511,4,127
512,4,127
513,4,127
514,4,126
515,4,127
516,4,127
517,4,126
