step,predator_0,prey_0
1,4,20
2,4,20
3,4,20
4,4,20
5,4,20
6,4,20
7,4,20
8,4,20
9,4,20
10,4,20
11,4,20
12,4,20
13,4,20
14,4,20
15,4,20
16,4,20
17,4,20
18,4,20
19,4,20
20,4,20
21,4,20
22,4,20
23,4,19
24,4,19
25,4,19
26,4,19
27,4,19
28,4,19
29,4,19
30,4,19
31,4,18
32,4,18
33,4,18
34,4,18
35,4,18
36,4,18
37,4,18
38,4,18
39,4,18
40,4,18
41,4,18
42,4,18
43,4,18
44,4,18
45,4,18
46,4,18
47,4,18
48,4,18
49,4,18
50,4,18
51,4,18
52,4,18
53,4,18
54,4,18
55,4,18
56,4,18
57,4,18
58,4,18
59,4,18
60,4,18
61,4,18
62,4,18
63,4,19
64,4,19
65,4,19
66,4,19
67,4,19
68,4,19
69,4,19
70,4,18
71,4,18
72,4,18
73,4,19
74,4,20
75,4,20
76,4,20
77,4,20
78,4,20
79,4,20
80,4,20
81,4,20
82,4,20
83,4,21
84,4,22
85,4,25
86,4,25
87,4,25
88,4,25
89,4,25
90,4,25
91,4,25
92,4,25
93,4,25
94,4,25
95,4,28
96,4,29
97,4,29
98,4,29
99,4,29
101,4,29
102,4,29
103,4,29
104,4,29
105,4,31
106,4,32
107,4,32
108,4,32
109,4,32
110,4,32
111,4,33
112,4,33
113,4,32
114,4,32
115,4,33
116,4,34
117,4,34
118,4,34
119,4,33
120,4,33
121,4,34
122,4,34
123,4,34
124,4,32
125,4,33
126,4,33
127,4,33
128,4,33
129,4,33
130,4,33
131,4,34
132,4,34
133,4,34
134,4,34
135,4,34
136,4,34
137,4,34
138,4,34
139,4,34
140,4,35
141,4,36
142,4,36
143,4,36
144,4,36
145,4,36
146,4,36
147,4,37
148,4,36
149,4,36
150,4,37
151,4,38
152,4,37
153,4,37
154,4,37
155,4,37
156,4,37
157,4,37
158,4,37
159,4,37
160,4,37
161,4,38
162,4,38
163,4,38
164,4,38
165,4,36
166,4,36
167,4,36
168,4,36
169,4,37
170,4,37
171,4,37
172,5,38
173,5,38
174,5,38
175,5,39
176,5,38
177,5,37
178,5,37
179,5,38
180,5,38
181,5,38
182,5,41
183,5,42
184,5,43
185,5,44
186,5,44
187,5,44
188,5,44
189,5,45
190,5,46
191,5,46
192,5,48
193,5,50
194,5,51
195,5,51
196,5,50
197,5,52
198,5,52
199,5,53
201,5,53
202,5,53
203,5,52
204,5,50
205,5,50
206,5,50
207,5,51
208,5,52
209,5,52
210,5,52
211,5,52
212,5,51
213,5,51
214,5,51
215,5,51
216,5,51
217,5,52
218,5,53
219,5,54
220,5,54
221,5,54
222,5,54
223,5,54
224,5,54
225,5,54
226,5,54
227,5,54
228,5,55
229,5,56
230,5,56
231,5,56
232,5,56
233,5,57
234,5,57
235,5,57
236,5,57
237,5,58
238,5,58
239,5,60
240,5,61
241,5,59
242,5,59
243,5,60
244,5,61
245,5,61
246,5,61
247,5,62
248,5,64
249,5,65
250,5,66
251,5,66
252,5,65
253,5,66
254,5,67
255,5,68
256,5,67
257,5,68
258,5,70
259,5,70
260,5,69
261,5,71
262,5,72
263,5,74
264,5,75
265,5,76
266,5,75
267,5,75
268,5,76
269,5,77
270,5,76
271,5,77
272,5,77
273,5,77
274,5,77
275,5,77
276,5,77
277,5,77
278,5,78
279,5,78
280,5,77
281,5,79
282,5,79
283,5,82
284,5,83
285,5,84
286,5,85
287,5,83
288,5,84
289,5,85
290,5,86
291,5,86
292,5,84
293,5,87
294,5,88
295,5,89
296,5,90
297,5,88
298,5,88
299,5,87
301,5,87
302,5,86
303,5,89
304,5,91
305,5,92
306,5,93
307,5,94
308,5,95
309,5,95
310,5,95
311,5,98
312,5,97
313,5,98
314,5,99
315,5,100
316,5,100
317,5,101
318,5,102
319,5,102
320,5,103
321,5,105
322,5,105
323,5,107
324,5,108
325,5,109
326,5,110
327,5,110
328,5,112
329,5,113
330,5,114
331,5,115
332,5,114
333,5,114
334,5,115
335,5,115
336,5,113
337,5,114
338,5,117
339,5,118
340,5,119
341,5,119
342,5,117
343,5,117
344,5,116
345,5,116
346,5,116
347,5,116
348,5,119
349,5,121
350,5,123
351,5,123
352,5,123
353,5,123
354,5,123
355,5,124
356,5,123
357,5,120
358,5,122
359,5,122
360,5,122
361,5,123
362,5,123
363,5,122
364,5,120
365,5,122
366,5,122
367,5,122
368,5,124
369,5,125
370,5,125
371,5,126
372,5,126
373,5,124
374,5,126
375,5,129
376,5,130
377,5,131
378,5,132
379,5,134
380,5,135
381,5,133
382,5,133
383,5,133
384,5,135
385,5,133
386,5,133
387,5,132
388,5,134
389,5,134
390,5,133
391,5,132
392,5,132
393,5,132
394,5,130
395,5,130
396,5,127
397,5,128
398,5,130
399,5,129
401,5,126
402,5,125
403,5,124
404,5,123
405,5,121
406,5,117
407,5,117
408,5,121
409,5,122
410,5,119
411,5,117
412,5,117
413,5,118
414,5,118
415,5,117
416,5,117
417,5,116
418,5,117
419,5,118
420,5,118
421,5,119
422,5,118
423,5,118
424,5,116
425,5,115
426,5,115
427,5,116
428,5,118
429,5,118
430,5,119
431,5,120
432,5,119
433,5,118
434,5,119
435,5,118
436,5,118
437,5,118
438,5,120
439,5,122
440,5,123
441,5,124
442,5,126
443,5,126
444,5,126
445,5,124
446,5,123
447,5,122
448,5,123
449,5,123
450,5,125
451,5,127
452,5,130
453,5,130
454,5,132
455,5,132
456,5,132
457,5,132
458,5,131
459,5,132
460,5,131
461,5,132
462,5,135
463,6,135
464,6,137
465,6,138
466,6,137
467,6,135
468,6,136
469,6,138
470,6,137
471,6,136
472,6,137
473,7,138
474,8,138
475,8,140
476,8,140
477,8,139
478,8,141
479,8,139
480,8,139
481,8,139
482,8,139
483,9,140
484,10,141
485,10,140
486,10,140
487,10,140
488,10,140
489,11,138
490,11,140
491,11,139
492,11,140
493,12,140
494,12,140
495,12,142
496,12,145
497,12,146
498,12,147
499,13,146
501,13,143
502,13,143
503,14,144
504,14,142
505,14,140
506,14,140
507,14,140
508,14,140
509,14,138
510,14,139
511,14,138
512,14,137
513,14,137
514,14,136
515,14,136
516,14,136
517,14,135
