step,predator_0,prey_0
1,4,20
2,4,20
3,4,20
4,4,20
5,4,20
6,4,20
7,4,20
8,4,20
9,4,20
10,4,20
11,4,20
12,4,20
13,4,20
14,4,20
15,4,20
16,4,20
17,4,20
18,4,20
19,4,20
20,4,20
21,4,20
22,4,20
23,4,20
24,4,20
25,4,20
26,4,20
27,4,20
28,4,20
29,4,20
30,4,20
31,4,20
32,4,20
33,4,20
34,4,20
35,4,20
36,4,20
37,4,20
38,4,20
39,4,20
40,4,20
41,4,20
42,4,20
43,4,20
44,4,20
45,4,20
46,4,20
47,4,20
48,4,20
49,4,20
50,4,20
51,4,20
52,4,19
53,4,19
54,4,19
55,4,19
56,4,19
57,4,19
58,4,19
59,4,19
60,4,19
61,4,19
62,4,19
63,4,19
64,4,19
65,4,19
66,4,19
67,4,19
68,4,19
69,4,19
70,4,19
71,4,19
72,4,19
73,4,19
74,4,19
75,4,19
76,4,19
77,4,19
78,4,19
79,4,19
80,4,19
81,4,19
82,4,19
83,4,19
84,4,19
85,4,19
86,4,19
87,4,19
88,4,19
89,4,19
90,4,19
91,4,19
92,4,19
93,4,19
94,4,19
95,4,19
96,4,20
97,4,20
98,4,20
99,4,20
101,4,20
102,4,20
103,4,20
104,4,20
105,4,20
106,4,20
107,4,20
108,4,20
109,4,20
110,4,20
111,4,18
112,4,19
113,4,19
114,4,19
115,4,19
116,4,19
117,4,19
118,4,18
119,4,18
120,4,17
121,4,17
122,4,17
123,4,17
124,4,17
125,4,17
126,4,17
127,4,17
128,4,17
129,4,17
130,4,17
131,4,17
132,4,17
133,4,17
134,4,17
135,4,17
136,4,17
137,4,17
138,4,17
139,4,17
140,4,16
141,4,16
142,4,16
143,4,16
144,4,16
145,4,16
146,4,16
147,4,16
148,4,16
149,4,16
150,4,16
151,4,16
152,4,16
153,4,16
154,4,16
155,4,16
156,4,16
157,4,16
158,4,17
159,4,17
160,4,17
161,4,17
162,4,17
163,4,17
164,4,17
165,4,17
166,4,18
167,4,18
168,4,18
169,4,18
170,4,18
171,4,18
172,4,18
173,4,18
174,4,18
175,4,18
176,4,18
177,4,18
178,4,18
179,4,18
180,4,18
181,4,18
182,4,18
183,4,18
184,4,18
185,4,18
186,4,18
187,4,18
188,4,18
189,4,18
190,4,18
191,4,18
192,4,18
193,4,18
194,4,18
195,4,19
196,4,19
197,4,19
198,4,19
199,4,19
201,4,20
202,4,20
203,4,20
204,4,20
205,4,20
206,4,20
207,4,20
208,4,20
209,4,20
210,4,20
211,4,20
212,4,20
213,4,20
214,4,20
215,4,20
216,4,21
217,4,20
218,4,20
219,4,20
220,4,20
221,4,20
222,4,20
223,4,21
224,4,21
225,4,21
226,4,21
227,4,21
228,4,22
229,4,22
230,4,22
231,4,22
232,4,22
233,4,22
234,4,22
235,4,22
236,4,22
237,4,22
238,4,22
239,4,22
240,4,22
241,4,22
242,4,22
243,4,22
244,4,22
245,4,23
246,4,23
247,4,23
248,4,23
249,4,23
250,4,23
251,4,23
252,4,23
253,4,23
254,4,23
255,4,23
256,4,23
257,4,23
258,4,23
259,4,23
260,4,23
261,4,23
262,4,23
263,4,23
264,4,23
265,4,23
266,4,23
267,4,23
268,4,23
269,4,23
270,4,23
271,4,23
272,4,23
273,4,23
274,4,23
275,4,23
276,4,23
277,4,24
278,4,25
279,4,25
280,4,25
281,4,25
282,4,25
283,4,26
284,4,26
285,4,26
286,4,26
287,4,26
288,4,26
289,4,26
290,4,26
291,4,26
292,4,26
293,4,26
294,4,26
295,4,26
296,4,26
297,4,26
298,4,26
299,4,26
301,4,26
302,4,25
303,4,25
304,4,25
305,4,25
306,4,25
307,4,25
308,4,25
309,4,25
310,4,25
311,4,26
312,4,26
313,4,26
314,4,26
315,4,26
316,4,26
317,4,27
318,4,27
319,4,27
320,4,27
321,4,27
322,4,27
323,4,28
324,4,27
325,4,27
326,4,26
327,4,27
328,4,29
329,4,29
330,4,29
331,4,29
332,4,29
333,4,30
334,4,30
335,4,30
336,4,30
337,4,30
338,4,30
339,4,30
340,4,30
341,4,30
342,4,30
343,4,30
344,4,30
345,4,30
346,4,30
347,4,30
348,4,30
349,4,30
350,4,30
351,4,30
352,4,30
353,4,30
354,4,30
355,4,30
356,4,30
357,4,30
358,4,30
359,4,30
360,4,30
361,4,30
362,4,30
363,4,30
364,4,30
365,4,30
366,4,31
367,4,32
368,4,32
369,4,32
370,4,32
371,4,32
372,4,32
373,4,33
374,4,33
375,4,33
376,4,33
377,4,34
378,4,34
379,4,34
380,4,35
381,4,36
382,4,37
383,4,37
384,4,37
385,4,37
386,4,37
387,4,37
388,4,37
389,4,37
390,4,35
391,4,35
392,4,35
393,4,35
394,4,35
395,4,35
396,4,35
397,4,35
398,4,36
399,4,36
401,4,36
402,4,36
403,4,36
404,4,36
405,4,36
406,4,36
407,4,36
408,4,36
409,4,36
410,4,36
411,4,36
412,4,36
413,4,36
414,4,36
415,4,36
416,4,36
417,4,36
418,4,36
419,4,36
420,4,36
421,4,36
422,4,36
423,4,36
424,4,36
425,4,36
426,4,36
427,4,38
428,4,39
429,4,39
430,4,40
431,4,41
432,4,43
433,4,43
434,4,43
435,4,43
436,4,43
437,4,43
438,4,44
439,4,44
440,4,44
441,4,44
442,4,45
443,4,45
444,4,45
445,4,45
446,4,45
447,4,45
448,4,46
449,4,46
450,4,46
451,4,46
452,4,46
453,4,46
454,4,46
455,4,46
456,4,46
457,4,46
458,4,46
459,4,47
460,4,47
461,4,47
462,4,47
463,4,46
464,4,45
465,4,45
466,4,45
467,4,45
468,4,45
469,4,44
470,4,44
471,4,44
472,4,44
473,4,44
474,4,44
475,4,44
476,4,44
477,4,46
478,4,47
479,4,47
480,4,48
481,4,49
482,4,50
483,4,50
484,4,50
485,4,50
486,4,50
487,4,50
488,4,52
489,4,52
490,4,52
491,4,52
492,4,53
493,4,54
494,4,54
495,4,55
496,4,55
497,4,55
498,4,56
499,4,56
501,4,56
502,4,56
503,4,57
504,4,57
505,4,57
506,4,57
507,4,57
508,4,57
509,4,59
510,4,59
511,4,59
512,4,59
513,4,59
514,4,59
515,4,59
516,4,59
517,4,59
