step,predator_0,prey_0
1,4,20
2,4,20
3,4,20
4,4,20
5,4,20
6,4,20
7,4,20
8,4,20
9,4,20
10,4,20
11,4,20
12,4,20
13,4,20
14,4,20
15,4,20
16,4,20
17,4,20
18,4,20
19,4,20
20,4,20
21,4,20
22,4,20
23,4,20
24,4,20
25,4,20
26,4,20
27,4,20
28,4,21
29,4,21
30,4,21
31,4,21
32,4,21
33,4,21
34,4,21
35,4,21
36,4,21
37,4,21
38,4,21
39,4,21
40,4,21
41,4,21
42,4,21
43,4,21
44,4,21
45,4,21
46,4,21
47,4,21
48,4,21
49,4,22
50,4,22
51,4,22
52,4,21
53,4,21
54,4,21
55,4,21
56,4,21
57,4,21
58,4,21
59,5,21
60,5,21
61,5,21
62,5,21
63,5,21
64,5,21
65,5,22
66,5,22
67,5,22
68,5,23
69,6,23
70,7,23
71,7,23
72,7,23
73,7,23
74,7,24
75,7,25
76,7,25
77,7,25
78,7,26
79,8,26
80,10,26
81,11,26
82,11,26
83,11,26
84,11,27
85,11,28
86,11,29
87,11,29
88,11,29
89,11,29
90,12,29
91,13,29
92,14,29
93,14,29
94,14,30
95,14,31
96,14,32
97,14,32
98,14,32
99,14,33
101,15,34
102,15,34
103,15,34
104,15,35
105,15,36
106,15,36
107,15,36
108,15,34
109,15,35
110,15,35
111,15,35
112,15,35
113,15,34
114,15,35
115,15,34
116,15,33
117,15,33
118,15,32
119,15,33
120,15,33
121,15,32
122,15,32
123,15,32
124,15,30
125,15,31
126,15,30
127,15,30
128,15,30
129,15,31
130,15,31
131,15,31
132,15,31
133,15,31
134,15,31
135,15,31
136,15,30
137,15,30
138,15,30
139,15,31
140,15,30
141,15,30
142,15,30
143,15,30
144,15,30
145,15,29
146,15,29
147,15,29
148,15,29
149,15,31
150,15,31
151,15,31
152,15,31
153,14,31
154,14,31
155,13,31
156,13,31
157,13,31
158,13,30
159,13,32
160,13,33
161,13,34
162,11,34
163,11,34
164,11,32
165,10,32
166,9,32
167,9,32
168,9,32
169,9,34
170,9,35
171,9,36
172,9,36
173,9,36
174,9,36
175,9,36
176,9,37
177,9,37
178,9,37
179,9,39
180,9,41
181,9,43
182,9,43
183,9,44
184,9,45
185,9,45
186,9,46
187,9,46
188,8,46
189,8,48
190,8,50
191,8,51
192,8,52
193,8,53
194,8,54
195,8,54
196,8,54
197,8,54
198,8,54
199,8,55
201,7,57
202,7,57
203,7,58
204,7,57
205,7,56
206,7,58
207,7,59
208,7,59
209,7,59
210,7,59
211,7,60
212,7,60
213,7,60
214,7,61
215,7,60
216,7,61
217,7,63
218,7,65
219,7,64
220,7,64
221,7,65
222,7,65
223,7,66
224,7,66
225,7,66
226,7,67
227,7,69
228,6,70
229,5,71
230,5,72
231,5,72
232,5,72
233,5,74
234,5,73
235,5,73
236,5,72
237,5,72
238,5,73
239,5,73
240,5,73
241,5,74
242,5,72
243,5,73
244,5,72
245,5,72
246,5,71
247,5,71
248,5,72
249,5,73
250,5,72
251,5,73
252,5,73
253,4,74
254,3,74
255,3,73
256,3,74
257,3,73
258,3,75
259,3,75
260,3,76
261,3,76
262,3,76
263,3,76
264,3,76
265,3,77
266,3,77
267,3,76
268,3,77
269,3,77
270,3,76
271,3,78
272,3,79
273,3,79
274,3,79
275,3,80
276,3,82
277,3,82
278,3,82
279,3,83
280,3,83
281,3,85
282,3,85
283,3,87
284,3,88
285,3,88
286,3,89
287,3,90
288,3,90
289,3,90
290,3,91
291,3,92
292,3,93
293,3,91
294,3,90
295,3,91
296,3,92
297,3,93
298,3,91
299,3,91
301,3,89
302,3,91
303,3,91
304,3,92
305,3,93
306,3,94
307,3,95
308,3,97
309,3,98
310,3,99
311,3,100
312,3,101
313,3,103
314,3,106
315,3,108
316,3,108
317,3,109
318,2,110
319,2,111
320,2,110
321,2,110
322,2,113
323,2,115
324,2,115
325,2,117
326,2,119
327,2,119
328,2,120
329,2,121
330,2,120
331,2,119
332,2,120
333,2,123
334,2,125
335,2,127
336,2,128
337,2,130
338,2,131
339,2,131
340,2,131
341,2,131
342,2,129
343,2,132
344,2,131
345,2,132
346,2,132
347,2,131
348,2,131
349,2,133
350,2,133
351,2,133
352,2,131
353,2,134
354,2,134
355,2,135
356,2,135
357,2,136
358,2,137
359,2,141
360,2,140
361,2,139
362,2,139
363,2,140
364,2,142
365,2,144
366,2,144
367,2,146
368,2,148
369,2,150
370,2,151
371,2,148
372,2,148
373,2,150
374,2,151
375,2,152
376,2,153
377,2,153
378,2,157
379,2,156
380,2,159
381,2,161
382,2,161
383,2,164
384,2,166
385,2,169
386,2,173
387,2,173
388,2,174
389,2,173
390,2,175
391,2,175
392,2,176
393,2,175
394,2,175
395,2,176
396,2,177
397,2,179
398,2,180
399,2,178
401,2,178
402,2,179
403,2,179
404,2,180
405,2,182
406,2,185
407,2,187
408,2,188
409,2,188
410,2,188
411,2,188
412,2,187
413,2,186
414,2,184
415,2,182
416,2,181
417,2,182
418,2,186
419,2,187
420,2,186
421,2,183
422,2,181
423,2,180
424,2,179
425,2,179
426,2,180
427,2,181
428,2,182
429,2,182
430,2,182
431,2,179
432,2,176
433,2,176
434,2,174
435,2,174
436,2,174
437,2,175
438,2,174
439,2,173
440,2,173
441,2,172
442,2,173
443,2,171
444,2,170
445,2,171
446,2,170
447,2,168
448,2,166
449,2,167
450,2,168
451,2,169
452,2,169
453,2,167
454,2,165
455,2,165
456,2,163
457,2,161
458,2,160
459,2,160
460,2,159
461,2,158
462,2,159
463,2,157
464,2,156
465,2,156
466,2,153
467,2,153
468,2,151
469,2,150
470,2,148
471,2,147
472,2,141
473,2,137
474,2,135
475,2,134
476,2,133
477,2,129
478,2,128
479,2,128
480,2,127
481,2,125
482,2,125
483,2,122
484,2,121
485,2,120
486,2,121
487,2,120
488,2,117
489,2,116
490,2,115
491,2,115
492,2,115
493,2,114
494,2,113
495,2,112
496,2,115
497,2,115
498,2,113
499,2,112
501,2,108
502,2,105
503,2,104
504,2,104
505,2,105
506,2,104
507,2,101
508,2,99
509,2,98
510,2,98
511,2,96
512,2,95
513,2,91
514,2,91
515,2,90
516,2,90
517,2,89
