step,predator_0,prey_0
1,4,20
2,4,20
3,4,20
4,4,20
5,4,20
6,4,20
7,4,20
8,4,20
9,4,20
10,4,20
11,4,20
12,4,20
13,4,20
14,4,20
15,4,20
16,4,20
17,4,20
18,4,20
19,4,20
20,4,20
21,4,20
22,4,20
23,4,20
24,4,20
25,4,20
26,4,20
27,4,20
28,4,20
29,4,20
30,4,20
31,4,20
32,4,20
33,4,20
34,4,20
35,4,19
36,4,19
37,4,19
38,4,19
39,4,19
40,4,19
41,4,19
42,4,19
43,4,19
44,4,19
45,4,19
46,4,19
47,4,19
48,4,19
49,4,19
50,4,19
51,4,19
52,4,19
53,4,19
54,4,19
55,4,19
56,4,19
57,4,19
58,4,19
59,4,19
60,4,19
61,4,19
62,4,19
63,4,20
64,4,20
65,4,20
66,4,20
67,4,20
68,4,20
69,4,20
70,4,20
71,4,20
72,4,20
73,4,21
74,4,20
75,4,20
76,4,20
77,4,20
78,4,20
79,4,20
80,4,20
81,4,20
82,4,20
83,4,21
84,4,22
85,4,22
86,4,22
87,4,22
88,4,21
89,4,21
90,4,21
91,4,21
92,4,21
93,4,22
94,4,22
95,4,22
96,4,22
97,4,22
98,4,22
99,4,22
101,4,23
102,4,23
103,4,24
104,4,24
105,4,24
106,4,24
107,4,24
108,4,24
109,4,25
110,4,25
111,4,25
112,4,25
113,4,25
114,4,24
115,4,24
116,4,23
117,4,22
118,4,23
119,4,24
120,4,25
121,4,25
122,4,25
123,4,25
124,4,23
125,4,23
126,4,23
127,4,23
128,4,24
129,4,25
130,4,26
131,4,27
132,4,27
133,4,27
134,4,27
135,4,27
136,4,27
137,4,27
138,4,28
139,4,30
140,4,30
141,4,30
142,4,30
143,4,30
144,4,30
145,5,30
146,5,30
147,5,30
148,5,31
149,5,33
150,5,33
151,5,33
152,5,33
153,5,33
154,5,34
155,6,34
156,7,34
157,7,34
158,7,33
159,7,35
160,7,36
161,7,36
162,7,36
163,7,36
164,7,36
165,8,36
166,10,36
167,11,36
168,11,35
169,11,35
170,11,35
171,11,34
172,11,34
173,11,34
174,11,35
175,11,35
176,12,35
177,13,34
178,14,34
179,14,34
180,14,34
181,14,33
182,14,33
183,14,34
184,14,35
185,14,36
186,15,37
187,15,37
188,15,37
189,15,37
190,15,37
191,15,37
192,15,37
193,15,38
194,15,39
195,15,40
196,15,41
197,15,42
198,15,42
199,15,41
201,15,41
202,15,41
203,15,42
204,15,44
205,15,45
206,15,47
207,15,48
208,15,49
209,15,49
210,15,50
211,15,50
212,15,50
213,15,51
214,15,53
215,15,54
216,15,57
217,15,58
218,15,59
219,15,60
220,15,60
221,15,60
222,15,60
223,15,60
224,15,59
225,15,59
226,15,59
227,15,62
228,15,64
229,15,65
230,15,65
231,15,65
232,15,64
233,15,66
234,15,66
235,15,66
236,15,68
237,15,72
238,15,75
239,15,78
240,15,77
241,15,77
242,15,77
243,15,80
244,15,81
245,15,81
246,15,81
247,15,83
248,15,83
249,15,83
250,15,82
251,15,82
252,15,82
253,15,82
254,15,82
255,15,82
256,15,82
257,15,83
258,15,83
259,15,83
260,15,83
261,15,84
262,15,84
263,15,84
264,15,83
265,15,82
266,15,81
267,15,81
268,15,82
269,15,82
270,15,83
271,15,83
272,15,84
273,15,84
274,15,82
275,15,81
276,15,81
277,15,82
278,15,83
279,15,83
280,15,83
281,15,85
282,15,85
283,15,86
284,15,83
285,15,82
286,15,83
287,15,83
288,15,84
289,15,85
290,15,87
291,15,89
292,15,91
293,15,91
294,15,91
295,14,90
296,14,91
297,14,89
298,14,88
299,14,89
301,12,93
302,12,93
303,12,92
304,12,92
305,12,92
306,12,92
307,12,92
308,12,91
309,12,91
310,11,92
311,10,92
312,10,91
313,10,91
314,10,92
315,10,90
316,10,91
317,10,90
318,10,90
319,9,90
320,9,90
321,9,92
322,9,93
323,9,93
324,9,93
325,9,93
326,9,93
327,9,94
328,9,94
329,9,93
330,9,92
331,9,95
332,9,96
333,9,98
334,9,96
335,9,97
336,9,98
337,9,99
338,9,98
339,9,98
340,9,98
341,9,100
342,9,100
343,9,102
344,9,101
345,9,101
346,9,103
347,9,103
348,9,103
349,9,102
350,9,100
351,9,100
352,9,100
353,8,102
354,8,101
355,8,101
356,8,101
357,8,99
358,8,99
359,8,99
360,8,100
361,8,99
362,8,100
363,8,100
364,8,102
365,8,100
366,8,98
367,8,94
368,8,93
369,7,93
370,7,91
371,7,92
372,7,90
373,6,92
374,6,94
375,6,94
376,6,95
377,6,94
378,6,93
379,6,93
380,6,94
381,6,94
382,6,94
383,6,95
384,6,96
385,6,98
386,6,98
387,6,99
388,6,100
389,6,100
390,6,100
391,6,100
392,6,100
393,6,100
394,6,103
395,6,104
396,6,105
397,6,107
398,6,106
399,6,107
401,6,107
402,6,106
403,6,106
404,6,107
405,6,109
406,6,108
407,6,106
408,6,105
409,6,105
410,6,103
411,6,101
412,6,99
413,6,100
414,6,102
415,6,103
416,6,103
417,6,101
418,6,100
419,6,100
420,6,99
421,6,99
422,6,97
423,6,96
424,6,98
425,6,100
426,6,102
427,6,103
428,6,103
429,6,103
430,6,103
431,6,102
432,6,101
433,6,103
434,6,102
435,6,101
436,6,100
437,6,101
438,6,101
439,5,100
440,5,99
441,5,98
442,5,97
443,5,100
444,5,101
445,5,103
446,5,102
447,5,104
448,5,105
449,5,104
450,5,104
451,5,104
452,5,104
453,5,105
454,5,107
455,5,109
456,5,111
457,5,114
458,5,115
459,5,116
460,5,116
461,5,115
462,5,114
463,5,115
464,5,114
465,5,115
466,5,116
467,5,118
468,5,119
469,5,120
470,5,119
471,5,119
472,5,118
473,5,118
474,5,117
475,5,117
476,5,118
477,5,117
478,5,116
479,5,115
480,5,114
481,5,114
482,5,113
483,5,112
484,5,113
485,5,112
486,5,113
487,5,113
488,5,114
489,5,115
490,5,116
491,5,114
492,5,113
493,5,113
494,5,113
495,5,108
496,5,106
497,5,106
498,5,108
499,5,109
501,5,108
502,5,106
503,5,106
504,5,103
505,5,103
506,5,105
507,5,106
508,5,107
509,5,108
510,5,107
511,5,107
512,5,108
513,5,108
514,5,108
515,5,110
516,5,109
517,5,108
